Node Number	Directional Heat Flux (W/m²)
5827	-4.1358e-007
5828	-9.3265e-008
5829	1.8254e-007
5830	1.6436e-007
5831	1.0469e-007
5832	-1.0664e-007
5833	-3.9973e-008
5834	-2.069e-008
5835	-2.0396e-007
5836	-3.6335e-008
5837	5.2514e-007
5838	-7.6032e-008
5839	1.3195e-009
5840	-2.0035e-007
5841	-1.7868e-007
5842	-1.8075e-008
5843	-6.2193e-008
5844	-2.1119e-007
5845	-1.0686e-007
5846	-3.8571e-007
5847	1.2647e-007
5848	-1.074e-007
5849	-3.5538e-007
5850	-2.8968e-007
5851	9.2677e-008
5852	-6.2123e-007
5853	-3.9053e-007
5854	-4.624e-007
5855	5.2646e-007
5856	6.8068e-009
5857	9.3634e-008
5858	-3.8005e-008
5859	-2.8208e-007
5860	1.9296e-007
5861	-6.2147e-008
5862	-1.0624e-008
5863	-5.2691e-007
5864	8.7515e-008
5865	2.5638e-008
5866	5.6326e-008
5867	2.0498e-008
5868	7.5956e-008
5869	-4.035e-007
5870	4.8885e-008
5871	-4.4729e-007
5872	6.2182e-007
5873	-5.8989e-008
5874	-5.8197e-008
5875	3.3437e-008
5876	1.2834e-007
5877	-3.6491e-007
5878	-6.0593e-008
5879	4.4448e-007
5880	-3.2268e-006
5881	-6.3774e-006
5882	-1.5942e-007
5883	-7.2965e-006
5884	-9.3397e-007
5885	-5.4049e-007
5886	-3.5826e-007
5887	-4.9338e-007
5888	-6.8808e-007
5889	-4.6905e-007
5890	-5.155e-007
5891	-1.304e-006
5892	-5.0727e-007
5893	-3.5874e-007
5894	-4.3783e-007
5895	-8.5363e-007
5896	-4.5606e-007
5897	-5.1686e-007
5898	-1.1089e-006
5899	-5.1592e-007
5900	-2.5119e-007
5901	-8.0859e-007
5902	-3.8631e-007
5903	-2.6219e-007
5904	-3.8697e-007
5905	-4.1878e-007
5906	-1.3307e-006
5907	-4.9966e-007
5908	-7.9791e-007
5909	-5.4418e-007
5910	-7.0076e-007
5911	-7.8248e-007
5912	-6.7741e-007
5913	-4.3949e-007
5914	-5.7599e-007
5915	-4.8401e-007
5916	-6.3069e-007
5917	-9.4671e-007
5918	-2.7629e-007
5919	-1.8935e-007
5920	-4.336e-007
5921	-8.7926e-008
5922	-1.4263e-007
5923	-1.6132e-007
5924	-6.5377e-007
5925	-9.2859e-007
5926	-7.3285e-007
5927	-7.4023e-007
5928	-8.1362e-007
