Element Number	Volume (m³)
3342	8.5727e-008
3343	7.3516e-007
3344	1.697e-006
3345	5.7224e-007
3346	1.0976e-006
3347	5.6239e-007
3348	9.257e-007
3349	8.6266e-007
3350	6.1983e-007
3351	5.3592e-007
3352	5.5856e-007
3353	5.8058e-007
3354	6.4877e-007
3355	3.3839e-007
3356	5.1701e-007
3357	9.6578e-007
3358	9.5417e-007
3359	8.6174e-007
3360	6.8662e-007
3361	6.0137e-007
3362	1.0307e-007
3363	4.3882e-006
3364	3.004e-006
3365	3.9926e-006
3366	4.4862e-006
3367	1.8954e-007
3368	2.6698e-006
3369	1.8604e-006
3370	9.9574e-007
3371	1.3333e-006
3372	5.1443e-007
3373	1.2179e-006
3374	2.1243e-006
3375	2.3126e-007
3376	1.3369e-006
3377	6.5513e-008
3378	7.9855e-008
3379	1.4816e-007
3380	7.817e-008
3381	1.4964e-007
3382	9.7412e-008
3383	1.6969e-007
3384	1.6471e-007
3385	9.6506e-008
3386	9.9944e-008
3387	1.5435e-007
3388	1.7695e-007
3389	1.1291e-007
3390	1.7847e-007
3391	1.087e-007
3392	2.7681e-008
3393	1.0398e-007
3394	1.9516e-007
3395	1.5292e-007
3396	1.0629e-007
3397	9.5109e-008
3398	1.4541e-007
3399	8.7909e-008
3400	1.6395e-007
3401	1.3681e-007
3402	9.2935e-008
3403	1.3681e-007
3404	9.3176e-008
3405	4.3776e-006
3406	8.15e-006
3407	7.3758e-006
3408	4.6832e-006
3409	2.8255e-006
3410	6.8611e-007
3411	7.2816e-007
3412	1.0881e-006
3413	1.2633e-006
3414	1.2078e-006
3415	1.1486e-006
3416	8.6304e-007
3417	3.8805e-007
3418	6.9006e-007
3419	4.2339e-007
3420	1.067e-007
3421	2.242e-007
3422	3.5709e-007
3423	6.261e-008
3424	4.0283e-008
3425	1.2527e-007
3426	1.9508e-007
3427	8.7737e-008
3428	6.5356e-008
3429	1.4808e-008
3430	7.4276e-008
3431	3.4352e-008
3432	7.0003e-008
3433	3.3103e-008
3434	1.6478e-007
3435	2.731e-007
3436	2.7789e-007
3437	1.6548e-007
3438	8.2569e-008
3439	3.2909e-008
3440	3.6285e-008
3441	8.4618e-008
3442	2.1336e-007
3443	7.2639e-008
3444	1.4304e-007
3445	7.617e-008
3446	8.0427e-008
3447	1.5188e-007
3448	3.2504e-008
3449	6.5065e-008
3450	7.2639e-008
3451	1.1936e-007
3452	1.8783e-007
3453	2.7741e-007
3454	2.3912e-007
3455	1.4511e-007
3456	3.2041e-007
3457	1.6809e-007
3458	6.4621e-008
3459	1.3161e-006
3460	1.1397e-006
3461	1.1271e-006
3462	1.1231e-006
3463	1.5213e-006
3464	9.2211e-007
3465	4.8924e-008
3466	3.8652e-007
3467	3.4015e-007
3468	1.0679e-007
3469	5.8269e-007
3470	1.1018e-006
3471	2.7465e-007
3472	3.981e-007
3473	3.3132e-007
3474	8.6621e-008
3475	4.3867e-007
3476	4.3633e-007
3477	2.3088e-007
3478	3.3936e-007
3479	4.0559e-006
3480	5.2791e-007
3481	1.2371e-007
3482	1.2371e-006
3483	2.6893e-006
3484	2.7365e-006
3485	3.926e-006
3486	2.169e-006
3487	2.8131e-006
3488	5.1733e-007
3489	3.7422e-006
3490	3.3297e-006
3491	3.0505e-006
3492	5.9924e-007
3493	2.3726e-006
3494	6.7789e-007
3495	1.4808e-006
3496	1.894e-006
3497	6.1842e-007
3498	1.0376e-007
3499	1.5556e-006
3500	2.6135e-006
3501	1.7276e-006
3502	3.4611e-007
3503	2.3584e-006
3504	2.9098e-006
3505	1.3661e-006
3506	2.8582e-006
3507	1.5639e-006
3508	3.7155e-006
3509	5.972e-007
3510	1.4784e-006
3511	5.6304e-007
3512	1.218e-006
3513	1.313e-006
3514	4.0092e-007
3515	5.5207e-007
3516	3.62e-007
3517	3.4252e-007
3518	6.049e-007
3519	2.1315e-007
3520	2.6374e-007
3521	8.5701e-007
3522	1.2191e-006
3523	3.2358e-006
3524	1.0057e-006
3525	1.5353e-006
3526	1.9509e-007
3527	9.4935e-007
3528	7.6594e-007
3529	3.3338e-007
3530	8.0058e-007
3531	3.3864e-007
3532	7.8191e-007
3533	3.2451e-007
3534	1.6832e-007
3535	5.1368e-007
3536	2.1921e-007
3537	4.8519e-007
3538	3.161e-007
3539	9.7564e-007
3540	9.0329e-007
3541	2.8227e-007
3542	3.2468e-007
3543	2.0792e-007
3544	1.7545e-007
3545	9.5446e-008
3546	3.1716e-007
3547	2.0792e-007
3548	7.2653e-007
3549	1.3729e-006
3550	3.5662e-007
3551	4.9042e-007
3552	1.7243e-007
3553	2.1921e-007
3554	3.6176e-007
3555	1.1228e-007
3556	3.3848e-008
3557	3.5408e-007
3558	9.4964e-008
3559	1.7955e-007
3560	1.2461e-007
3561	3.5408e-007
3562	1.4396e-007
3563	9.8039e-007
3564	1.2076e-007
3565	2.3405e-007
3566	1.4891e-007
3567	2.1921e-007
3568	2.344e-007
3569	2.3405e-007
3570	1.4075e-007
3571	9.5446e-008
3572	1.4035e-007
3573	1.3885e-007
3574	6.1763e-008
3575	1.6881e-007
3576	1.7545e-007
3577	1.9252e-007
3578	1.6881e-007
3579	6.1763e-008
3580	4.214e-007
3581	1.7806e-007
3582	1.9609e-007
3583	7.5593e-007
3584	1.3722e-007
3585	4.2224e-007
3586	8.3556e-008
3587	1.4845e-006
3588	3.1575e-006
3589	2.0889e-006
3590	2.6822e-006
3591	3.3602e-007
3592	9.4959e-007
3593	2.8273e-007
3594	3.9818e-007
3595	2.2586e-007
3596	6.0743e-007
3597	7.0954e-007
3598	8.115e-008
3599	2.8948e-007
3600	8.0293e-007
3601	1.4737e-006
3602	1.1042e-007
3603	4.1769e-007
3604	7.9391e-007
3605	7.3028e-007
3606	1.3109e-006
3607	5.7886e-007
3608	2.7926e-007
3609	2.7603e-007
3610	2.9014e-006
3611	2.7569e-007
3612	3.6812e-007
3613	7.7359e-007
3614	4.1077e-007
3615	3.9374e-007
3616	6.6168e-007
3617	2.5405e-006
3618	1.4088e-006
3619	3.1472e-007
