Node Number	Total Deformation (m)
5791	2.1955e-008
5792	2.3022e-008
5793	2.2222e-008
5794	2.2177e-008
5795	2.3771e-008
5796	2.246e-008
5797	2.197e-008
5798	2.3082e-008
5799	2.3159e-008
5800	2.2457e-008
5801	2.0338e-008
5802	2.3085e-008
5803	2.0785e-008
5804	2.3587e-008
5805	1.7055e-008
5806	1.5969e-008
5807	1.7723e-008
5808	2.0164e-008
5809	2.2388e-008
5810	2.0809e-008
5811	2.309e-008
5812	2.1391e-008
5813	1.7775e-008
5814	2.1497e-008
5815	2.1168e-008
5816	1.9829e-008
5817	2.1826e-008
5818	1.7038e-008
5819	2.1712e-008
5820	2.2392e-008
5821	2.2782e-008
5822	1.7356e-008
5823	1.7578e-008
5824	1.4604e-008
5825	1.7314e-008
5826	1.6736e-008
5827	1.6768e-008
5828	1.6845e-008
5829	2.0828e-008
5830	2.2054e-008
5831	2.1689e-008
5832	1.6736e-008
5833	1.5692e-008
5834	2.3738e-008
5835	2.2472e-008
5836	1.6013e-008
5837	1.5003e-008
5838	2.344e-008
5839	2.3712e-008
5840	2.3914e-008
5841	1.6501e-008
5842	2.4067e-008
5843	2.3837e-008
5844	2.4104e-008
5845	2.3572e-008
5846	2.3631e-008
5847	1.8912e-008
5848	1.8383e-008
5849	1.8522e-008
5850	2.2556e-008
5851	2.2873e-008
5852	2.319e-008
5853	1.9131e-008
5854	2.0947e-008
5855	2.2505e-008
5856	2.3078e-008
5857	1.7186e-008
5858	1.9108e-008
5859	1.7121e-008
5860	2.2225e-008
5861	2.0165e-008
5862	2.0336e-008
5863	2.0427e-008
5864	2.0723e-008
5865	1.5563e-008
5866	2.1344e-008
5867	1.7199e-008
5868	2.3634e-008
5869	1.9727e-008
5870	2.1065e-008
5871	2.1667e-008
5872	1.9553e-008
5873	2.0037e-008
5874	2.2378e-008
5875	1.7445e-008
5876	2.0534e-008
5877	2.1683e-008
5878	1.6999e-008
5879	1.7216e-008
5880	1.9874e-008
5881	1.9667e-008
5882	2.4509e-008
5883	2.1834e-008
5884	2.2931e-008
5885	2.2542e-008
5886	2.2876e-008
5887	2.2644e-008
5888	2.2279e-008
5889	2.2246e-008
5890	2.2455e-008
5891	2.3656e-008
5892	2.3356e-008
5893	2.3646e-008
5894	2.3284e-008
5895	2.3025e-008
5896	2.3038e-008
5897	2.3165e-008
5898	2.3575e-008
5899	2.3512e-008
5900	2.3205e-008
5901	2.3332e-008
5902	2.2979e-008
5903	2.3404e-008
5904	2.3035e-008
5905	2.3322e-008
5906	2.4047e-008
5907	2.4011e-008
5908	2.3792e-008
5909	2.3694e-008
5910	2.3612e-008
5911	2.4234e-008
5912	2.4268e-008
5913	2.4177e-008
5914	2.3988e-008
5915	2.3864e-008
5916	2.3865e-008
5917	2.4093e-008
5918	2.4231e-008
5919	2.4284e-008
5920	2.4173e-008
5921	2.4002e-008
5922	2.3877e-008
5923	2.3987e-008
5924	2.3906e-008
